count,ptid,MoveTime,Compatibilidad,Grupo MoveTime
2234,428,438,0,Grupo B
2241,429,269,1,Grupo A
2242,429,266,1,Grupo A
2243,429,253,0,Grupo A
2244,429,283,0,Grupo A
2248,429,278,0,Grupo A
2255,429,247,1,Grupo A
2259,429,306,0,Grupo A
2262,429,305,1,Grupo A
2266,429,369,0,Grupo A
2272,429,233,1,Grupo A
2273,429,332,1,Grupo A
2275,429,256,1,Grupo A
2279,429,380,1,Grupo A
2282,429,561,0,Grupo A
2285,429,272,1,Grupo A
2289,429,246,0,Grupo A
2291,429,244,1,Grupo A
2292,429,335,1,Grupo A
2293,429,428,1,Grupo A
2295,429,255,0,Grupo A
2296,429,292,0,Grupo A
2298,429,347,0,Grupo A
2301,429,316,0,Grupo A
2303,429,348,1,Grupo A
2309,429,311,0,Grupo A
2310,429,379,1,Grupo A
2311,429,426,1,Grupo A
2312,429,438,0,Grupo A
2316,429,371,1,Grupo A
2319,429,372,1,Grupo A
2320,429,351,0,Grupo A
2328,430,169,1,Grupo A
2330,430,195,1,Grupo A
2332,430,173,1,Grupo A
2333,430,186,1,Grupo A
2334,430,211,0,Grupo A
2339,430,226,1,Grupo A
2340,430,224,1,Grupo A
2344,430,200,0,Grupo A
2345,430,186,1,Grupo A
2348,430,215,0,Grupo A
2349,430,181,0,Grupo A
2351,430,183,1,Grupo A
2352,430,191,0,Grupo A
2354,430,232,0,Grupo A
2355,430,146,1,Grupo A
2356,430,181,0,Grupo A
2361,430,145,0,Grupo A
2362,430,169,0,Grupo A
2364,430,179,1,Grupo A
2365,430,196,0,Grupo A
2366,430,232,0,Grupo A
2370,430,197,1,Grupo A
2375,430,203,1,Grupo A
2376,430,218,0,Grupo A
2377,430,162,0,Grupo A
2380,430,167,1,Grupo A
2384,430,166,1,Grupo A
2386,430,144,0,Grupo A
2388,430,146,0,Grupo A
2390,430,143,0,Grupo A
2395,430,147,0,Grupo A
2397,430,175,0,Grupo A
2401,431,252,1,Grupo A
2404,431,222,0,Grupo A
2405,431,337,1,Grupo A
2407,431,267,0,Grupo A
2410,431,262,1,Grupo A
2411,431,304,0,Grupo A
2413,431,281,0,Grupo A
2415,431,218,0,Grupo A
2418,431,339,0,Grupo A
2419,431,319,1,Grupo A
2421,431,281,1,Grupo A
2426,431,308,0,Grupo A
2429,431,285,0,Grupo A
2431,431,246,0,Grupo A
2439,431,366,1,Grupo A
2441,431,376,1,Grupo A
2444,431,265,1,Grupo A
2447,431,273,1,Grupo A
2451,431,203,1,Grupo A
2454,431,368,0,Grupo A
2455,431,305,0,Grupo A
2456,431,323,1,Grupo A
