"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4"
95,0,402,2,15,0,1,0,1,643,2064,1856,33,"You transmitted the orders to Sara"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
96,0,402,2,16,1,0,1,0,538,2010,1731,53,"Kelly hindered the rubber band to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
97,0,402,2,17,0,1,1,1,0,0,1409,70,"You gave the earing Susan"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
98,0,402,2,18,0,1,1,1,0,0,1680,65,"You dispensed icecream Sandra"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
99,0,402,2,19,0,1,0,1,491,1648,1182,31,"You slipped Heather a note"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
100,0,402,2,20,1,1,0,1,435,1691,1427,30,"You poured your dad some water"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
101,0,402,2,21,1,0,1,1,0,0,1388,56,"Sally thought the marble to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
102,0,402,2,22,0,1,1,1,0,0,1537,64,"You devoted the song Jenni"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
103,0,402,2,23,1,0,0,1,497,3150,1875,5,"Kelly dispensed the rations to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
104,0,402,2,24,1,1,0,1,334,2079,1567,25,"You handed the puppy to Katie"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
105,0,402,2,25,1,0,0,1,375,2393,1926,7,"Sally slid you the cafeteria tray"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
106,0,402,2,26,0,0,1,1,0,0,1236,44,"Brett saw you the bridge"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
107,0,402,2,27,1,0,1,1,0,0,1363,57,"Sam received cookies to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
108,0,402,2,28,1,1,1,1,0,0,1392,74,"You saw the cow the base ball"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
109,0,402,2,29,0,1,0,1,484,1786,1310,39,"You told Liz the story"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
110,0,402,2,30,1,0,0,1,940,2155,1322,9,"Paul hit you the baseball"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
111,0,402,2,31,1,1,1,1,0,0,1424,77,"You taught her time to Anna"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
112,0,402,2,32,1,0,1,1,0,0,1232,55,"Paul followed you the puppy"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
113,0,402,2,33,1,1,1,1,0,0,1633,73,"You reduced the land to Tiana"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
114,0,402,2,34,0,1,1,1,0,0,1604,69,"You forged the chair to George"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
115,0,402,2,35,0,1,0,0,0,0,1407,40,"You sent your family regards"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
116,0,402,2,36,1,0,1,1,0,0,1408,51,"Joe sang the cards to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
117,0,402,2,37,0,0,0,1,487,2063,1508,17,"Chris offered you some writing tips"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
118,0,402,2,38,0,0,1,1,0,0,1215,46,"Gabe grabbed you to the vase"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
119,0,402,2,39,1,1,0,1,478,1948,1634,24,"You entrusted the key to Jeff"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
120,0,402,2,40,1,0,0,1,411,1660,1503,1,"Andy delivered the pizza to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
121,0,402,2,41,1,1,0,1,615,2603,1645,27,"You kicked Joe the soccer ball"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
122,0,402,2,42,0,0,0,1,430,1975,1746,12,"Tiana devoted her time to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
123,0,402,2,43,0,1,0,1,370,2352,1724,37,"Ian received the complaint from you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
124,0,402,2,44,0,1,1,1,0,0,1584,68,"You drove the land to China"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
125,0,402,2,45,0,1,1,1,0,0,1440,67,"You dreamt your dad a soccer ball"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
126,0,402,2,46,1,1,1,1,0,0,1410,72,"You pitched the story Andy"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
127,0,402,2,47,1,1,0,0,0,0,1936,21,"You forked over the cash to Alex"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
128,0,402,2,48,0,1,1,1,0,0,1379,66,"You drank the house to Joe"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
129,0,402,2,49,1,1,1,1,0,0,1491,79,"You transferred the chance Steve"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
130,0,402,2,50,0,0,1,1,0,0,1333,47,"Hector played the cake to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
131,0,402,2,51,1,1,1,1,0,0,1396,78,"You told the kiss to Ian"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
132,0,402,2,52,0,0,0,1,202,2625,1698,15,"Jesse gave you another chance"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
133,0,402,2,53,1,0,0,1,439,2841,1704,10,"Adam conveyed the message to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
134,0,402,2,54,0,0,1,1,0,0,1448,50,"Jim pretended the stew to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
135,0,402,2,55,0,0,0,1,452,2450,1805,11,"Art bestowed the honor upon you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
136,0,402,2,56,0,0,1,1,0,0,1291,48,"Jack thought you the ice cream"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
137,0,402,2,57,1,1,1,1,0,0,1471,80,"You wrote Dave to the pencil"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
138,0,402,2,58,0,0,0,1,620,1528,1369,14,"Jenni sang you a song"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
139,0,402,2,59,0,1,0,1,621,1631,1371,32,"You sold the land to Mike"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
140,0,402,2,60,1,1,1,1,0,0,1513,76,"You sugared Alex the floor"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
141,0,402,2,61,1,1,0,1,554,2765,1620,28,"You shot Shawn the rubber band"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
142,0,402,2,62,1,1,0,1,395,1746,1637,22,"You donated money to Vincent"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
143,0,402,2,63,1,0,0,1,425,1709,1433,4,"Amber drove the car to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
