Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,KeyRespPrueba.rt,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.73265051773132,128.52238170251,F,right,0.0336632525886566,25,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.6904165,None,right,1,1.2119647999999756,270.7906641,None,272.02428019999996,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.02640523744123,124.322837810942,F,right,0.03513202618720615,26,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1081612,None,right,1,0.4679256999999666,273.20822100000004,None,273.7076331,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.92637689199021,121.264987338989,F,right,0.03463188445995105,27,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.7915589,None,right,1,0.5118068999999537,274.8919074,None,275.42497700000007,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.92771122384602,127.420075185906,F,right,0.0346385561192301,28,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.5091798,None,right,1,0.5379184000000237,276.6086853,None,277.1756439,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.82965555515823,121.362896245264,E,left,0.02914827777579115,29,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.2595173,None,left,1,0.570919300000071,278.35954640000006,None,278.95977550000003,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.04573357235965,120.789364395402,E,left,0.030228667861798248,30,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0436457,None,left,1,0.49162370000004785,280.14355359999996,None,280.6603012,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.92769951728615,125.272196114664,E,left,0.02963849758643075,31,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7439668,None,left,1,0.5672926000000302,281.8439484,None,282.44404720000006,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.19147311049652,124.003168840549,E,left,0.0309573655524826,32,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.52756130000006,None,left,1,0.8636084000000324,283.6277485,None,284.51260940000003,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.73875841743782,122.809304341189,E,left,0.0286937920871891,33,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.5954859,None,left,1,0.5077327000000764,285.69541940000005,None,286.2288487,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.72907568575406,129.000322287173,E,left,0.0286453784287703,34,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.31202790000003,None,left,1,0.6623043000000166,287.4121578,None,288.0955839,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.7190236530122,123.237058412498,F,right,0.033595118265061,35,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.17926800000004,None,right,1,0.6429891999999313,289.27930800000007,None,289.94621120000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.69623359879928,121.338799557726,F,right,0.0334811679939964,36,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0299789,None,right,1,0.40833990000004405,291.13001049999997,None,291.5633926,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.03435382452649,121.214992388902,F,right,0.03517176912263245,37,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.6470976,None,right,1,0.3598976000000107,292.74714539999997,None,293.13054530000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.01504039044082,122.141261329445,E,left,0.0300752019522041,38,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.21432810000005,None,left,1,0.4807810000000359,294.3144051,None,294.8145503,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.99445550840864,124.679166141761,F,right,0.0349722775420432,39,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.89822480000004,None,right,1,0.5404384999999934,295.9983018,None,296.56596429999996,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.19298125039768,126.10761504368,E,left,0.0309649062519884,40,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.64873700000004,None,left,1,0.5176673999999934,297.7487041,None,298.29918630000003,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.86652736200711,126.319753297367,F,right,0.03433263681003555,41,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.3828402,None,right,1,0.35310590000000275,299.48272349999996,None,299.86621510000003,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.0265706931507,120.167692799951,E,left,0.0301328534657535,42,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.9493153,None,left,1,0.5373999000000254,301.04937079999996,None,301.61621570000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.02088680300604,126.27240311488,F,right,0.0351044340150302,43,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.6999613,None,right,1,0.4903272000000811,302.80027020000006,None,303.31713900000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.00019864445886,120.13825962872,F,right,0.0350009932222943,44,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.4010764,None,right,1,0.47821930000003476,304.5010543,None,305.00111699999997,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.78855301886482,123.604426673208,F,right,0.033942765094324104,45,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0850277,None,right,1,0.37021989999999505,306.18469640000006,None,306.58512,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.91691295700039,122.267645826549,F,right,0.03458456478500195,46,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.668873,None,right,1,0.3221895999999447,307.76879720000005,None,308.11855440000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.23949990267797,128.9771791325,E,left,0.03119749951338985,47,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.2023287,None,left,1,0.5405851000001007,309.30240970000006,None,309.86928730000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.01183958654925,127.354086641192,E,left,0.03005919793274625,48,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.95280470000006,None,left,1,0.4552395000000047,311.0529753,None,311.5369043,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.90234581194862,119.515305309963,F,right,0.0345117290597431,49,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.62022570000005,None,right,1,0.5066774000000009,312.72039910000007,None,313.2539907,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
