Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.21148457747853,172,B,right,0.03105742288739265,,,,,0,9,9,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.08372140000574,None,right,1,0.9139942999463528,249.18380030011758,None,250.11728559993207,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.12178409845566,192,A,left,0.0206089204922783,,,,,0,10,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.20108220004477,None,left,1,0.6204996998421848,251.30118079995736,None,251.95106250001118,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.65995719914972,142,B,right,0.0332997859957486,,,,,0,11,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.03479050006717,None,right,1,0.4436444998718798,253.1350189000368,None,253.602093399968,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.05100711134529,302,A,left,0.020255035556726447,,,,,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.6865006000735,None,left,1,0.6479436000809073,254.7857190000359,None,255.45313300006092,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.47799481109828,82,B,right,0.0323899740554914,,,,,0,13,13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.53562569990754,None,right,1,0.64563939999789,256.63612479995936,None,257.3029086999595,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.55606479876494,356,B,right,0.032780323993824696,,,,,0,14,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.3866207001265,None,right,1,0.6745748999528587,258.48679760005325,None,259.18712470005266,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.45746971097397,51,A,left,0.02228734855486985,,,,,0,15,15,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.2705649000127,None,left,1,0.7034805999137461,260.37057700008154,None,261.1040503999684,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.13144345266853,334,A,left,0.020657217263342652,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.1878355999943,None,left,1,0.7374413998331875,262.28784090001136,None,263.054683299968,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.4304987795636,36,B,right,0.032152493897818005,,,,,0,17,17,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1384614999406,None,right,1,0.5145634999498725,264.2384470999241,None,264.77196140005253,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.18241453722744,192,A,left,0.0209120726861372,,,,,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.85574229992926,None,left,1,1.3982228997629136,265.9556523000356,None,267.3728197000455,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
