"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",Grupo,,
224,0,403,4,64,1,0,0,1,351,2342,1347,9,"Mike rolled you the marble","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",995,Grupo A,,
227,0,403,4,67,0,0,0,1,449,2155,1501,12,"Mike sold the land to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",654,Grupo A,,
230,0,403,4,70,0,0,0,1,394,2190,2138,15,"Anna transferred responsibility to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",52,Grupo A,,
232,0,403,4,72,1,0,0,1,5089,90,1473,10,"Your dad poured you some water","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",-1383,Grupo A,,
235,0,403,4,75,1,0,0,1,328,1990,1693,4,"Jeff entrusted the key to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",297,Grupo A,,
237,0,403,4,77,0,0,0,1,303,1655,1277,19,"Liz told you the story","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",378,Grupo A,,
238,0,403,4,78,0,0,0,1,391,1872,1647,16,"Dan confessed his secret to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",225,Grupo A,,
241,1,404,1,1,1,1,0,1,56,1748,1407,40,"You sent your family regards","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",341,Grupo A,,
248,0,404,1,8,0,0,0,1,103,1956,1704,10,"Adam conveyed the message to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",252,Grupo A,,
249,0,404,1,9,1,0,0,1,19,1988,1733,16,"Steve lavished you with praise","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",255,Grupo A,,
250,0,404,1,10,1,1,0,1,7,2279,2034,35,"You transferred responsibility to Anna","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",245,Grupo A,,
251,0,404,1,11,0,0,0,1,2,1782,1559,8,"Courtney handed you the notebook","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",223,Grupo A,,
260,0,404,1,20,0,0,0,1,17,1907,1503,1,"Andy delivered the pizza to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",404,Grupo A,,
261,0,404,1,21,0,0,0,1,20,2208,1875,5,"Kelly dispensed the rations to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",333,Grupo A,,
262,0,404,1,22,1,0,0,1,83,1621,1022,19,"He taught you a lesson","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",599,Grupo A,,
263,0,404,1,23,1,0,0,1,121,1743,1698,15,"Jesse gave you another chance","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",45,Grupo A,,
264,0,404,1,24,0,0,0,1,146,1745,1396,6,"Christine bought you ice cream","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",349,Grupo A,,
265,0,404,1,25,0,1,0,1,57,2007,1364,29,"You rolled Mike the marble","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",643,Grupo A,,
266,0,404,1,26,0,1,0,1,105,2055,1634,24,"You entrusted the key to Jeff","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",421,Grupo A,,
267,0,404,1,27,0,1,0,1,124,2075,1645,27,"You kicked Joe the soccer ball","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",430,Grupo A,,
271,0,404,1,31,0,1,0,1,38,2206,1637,22,"You donated money to Vincent","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",569,Grupo A,,
273,0,404,1,33,1,1,0,1,146,1677,1270,38,"You paid Amanda tribute","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",407,Grupo A,,
275,0,404,1,35,1,0,0,1,282,2284,1746,12,"Tiana devoted her time to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",538,Grupo A,,
276,0,404,1,36,1,1,0,1,175,2047,1724,37,"Ian received the complaint from you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",323,Grupo A,,
279,0,404,1,39,0,0,0,1,164,2595,1489,3,"Jack kicked the football to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",1106,Grupo A,,
