"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
221,0,403,4,61,0,0,0,1,384,2852,2184,14,"The policeman radioed the message to you",668,1,Grupo A,Grupo A,Grupo B
224,0,403,4,64,1,0,0,1,351,2342,1347,9,"Mike rolled you the marble",995,0,Grupo A,Grupo A,Grupo B
227,0,403,4,67,0,0,0,1,449,2155,1501,12,"Mike sold the land to you",654,1,Grupo A,Grupo A,Grupo B
230,0,403,4,70,0,0,0,1,394,2190,2138,15,"Anna transferred responsibility to you",52,1,Grupo A,Grupo A,Grupo B
232,0,403,4,72,1,0,0,1,5089,90,1473,10,"Your dad poured you some water",-1383,0,Grupo A,Grupo A,Grupo B
235,0,403,4,75,1,0,0,1,328,1990,1693,4,"Jeff entrusted the key to you",297,0,Grupo A,Grupo A,Grupo B
237,0,403,4,77,0,0,0,1,303,1655,1277,19,"Liz told you the story",378,1,Grupo A,Grupo A,Grupo B
238,0,403,4,78,0,0,0,1,391,1872,1647,16,"Dan confessed his secret to you",225,1,Grupo A,Grupo A,Grupo B
241,1,404,1,1,1,1,0,1,56,1748,1407,40,"You sent your family regards",341,1,Grupo A,Grupo A,Grupo A
248,0,404,1,8,0,0,0,1,103,1956,1704,10,"Adam conveyed the message to you",252,1,Grupo A,Grupo A,Grupo A
249,0,404,1,9,1,0,0,1,19,1988,1733,16,"Steve lavished you with praise",255,0,Grupo A,Grupo A,Grupo A
250,0,404,1,10,1,1,0,1,7,2279,2034,35,"You transferred responsibility to Anna",245,1,Grupo A,Grupo A,Grupo A
251,0,404,1,11,0,0,0,1,2,1782,1559,8,"Courtney handed you the notebook",223,1,Grupo A,Grupo A,Grupo A
260,0,404,1,20,0,0,0,1,17,1907,1503,1,"Andy delivered the pizza to you",404,1,Grupo A,Grupo A,Grupo A
261,0,404,1,21,0,0,0,1,20,2208,1875,5,"Kelly dispensed the rations to you",333,1,Grupo A,Grupo A,Grupo A
262,0,404,1,22,1,0,0,1,83,1621,1022,19,"He taught you a lesson",599,0,Grupo A,Grupo A,Grupo A
263,0,404,1,23,1,0,0,1,121,1743,1698,15,"Jesse gave you another chance",45,0,Grupo A,Grupo A,Grupo A
264,0,404,1,24,0,0,0,1,146,1745,1396,6,"Christine bought you ice cream",349,1,Grupo A,Grupo A,Grupo A
265,0,404,1,25,0,1,0,1,57,2007,1364,29,"You rolled Mike the marble",643,0,Grupo A,Grupo A,Grupo A
266,0,404,1,26,0,1,0,1,105,2055,1634,24,"You entrusted the key to Jeff",421,0,Grupo A,Grupo A,Grupo A
267,0,404,1,27,0,1,0,1,124,2075,1645,27,"You kicked Joe the soccer ball",430,0,Grupo A,Grupo A,Grupo A
271,0,404,1,31,0,1,0,1,38,2206,1637,22,"You donated money to Vincent",569,0,Grupo A,Grupo A,Grupo A
273,0,404,1,33,1,1,0,1,146,1677,1270,38,"You paid Amanda tribute",407,1,Grupo A,Grupo A,Grupo A
275,0,404,1,35,1,0,0,1,282,2284,1746,12,"Tiana devoted her time to you",538,0,Grupo A,Grupo A,Grupo A
276,0,404,1,36,1,1,0,1,175,2047,1724,37,"Ian received the complaint from you",323,1,Grupo A,Grupo A,Grupo A
279,0,404,1,39,0,0,0,1,164,2595,1489,3,"Jack kicked the football to you",1106,1,Grupo A,Grupo A,Grupo A
282,0,404,1,42,0,1,0,1,82,1855,1427,30,"You poured your dad some water",428,0,Grupo A,Grupo A,Grupo A
284,0,404,1,44,1,0,0,1,167,2824,1472,20,"Andy pitched you the idea",1352,0,Grupo A,Grupo A,Grupo A
285,0,404,1,45,0,1,0,1,62,2554,1620,28,"You shot Shawn the rubber band",934,0,Grupo A,Grupo A,Grupo A
286,0,404,1,46,1,1,0,1,113,2375,2065,34,"You radioed the message to the policeman",310,1,Grupo A,Grupo A,Grupo A
287,0,404,1,47,1,0,0,1,150,1872,1369,14,"Jenni sang you a song",503,0,Grupo A,Grupo A,Grupo A
290,0,404,1,50,1,1,0,1,35,2236,1371,32,"You sold the land to Mike",865,1,Grupo A,Grupo A,Grupo A
292,0,404,1,52,1,1,0,1,113,1641,1310,39,"You told Liz the story",331,1,Grupo A,Grupo A,Grupo A
294,0,404,1,54,0,1,0,1,77,2135,1567,25,"You handed the puppy to Katie",568,0,Grupo A,Grupo A,Grupo A
295,0,404,1,55,1,1,0,1,431,2222,1856,33,"You transmitted the orders to Sara",366,1,Grupo A,Grupo A,Grupo A
297,0,404,1,57,1,0,0,1,131,2317,1508,17,"Chris offered you some writing tips",809,0,Grupo A,Grupo A,Grupo A
303,0,404,1,63,1,0,0,1,31,2136,1696,13,"John dedicated the song to you",440,0,Grupo A,Grupo A,Grupo A
307,0,404,1,67,0,0,0,1,64,2596,1926,7,"Sally slid you the cafeteria tray",670,1,Grupo A,Grupo A,Grupo A
316,0,404,1,76,1,1,0,1,143,1981,1600,36,"You confessed your secret to Dan",381,1,Grupo A,Grupo A,Grupo A
323,0,405,3,3,0,1,0,1,195,1780,1485,22,"You awarded a medal to Helen",295,0,Grupo B,Grupo B,Grupo A
327,0,405,3,7,0,0,0,1,132,1926,1460,3,"Mark dealt the cards to you",466,1,Grupo B,Grupo B,Grupo A
331,0,405,3,11,1,1,0,1,230,2714,1635,35,"You gave Jesse another chance",1079,1,Grupo B,Grupo B,Grupo A
334,0,405,3,14,0,1,0,1,62,1895,1321,24,"You drove the car to Amber",574,0,Grupo B,Grupo B,Grupo A
336,0,405,3,16,1,1,0,1,224,1888,1639,33,"You dedicated the song to John",249,1,Grupo B,Grupo B,Grupo A
339,0,405,3,19,1,1,0,1,278,1987,1647,32,"You devoted your time to Tiana",340,1,Grupo B,Grupo B,Grupo A
344,0,405,3,24,0,0,0,1,199,1884,1684,2,"Vincent donated money to you",200,1,Grupo B,Grupo B,Grupo A
347,0,405,3,27,0,0,0,1,185,1909,1473,10,"Your dad poured you some water",436,1,Grupo B,Grupo B,Grupo A
348,0,405,3,28,0,1,0,1,224,2337,1511,28,"You handed Courtney the notebook",826,0,Grupo B,Grupo B,Grupo A
349,0,405,3,29,1,0,0,1,265,2045,1371,20,"Your family sent you regards",674,0,Grupo B,Grupo B,Grupo A
352,0,405,3,32,1,1,0,1,338,1966,1390,34,"You sang Jenni a song",576,1,Grupo B,Grupo B,Grupo A
353,0,405,3,33,1,0,0,1,356,2041,1724,17,"You received the complaint from Ian",317,0,Grupo B,Grupo B,Grupo A
354,0,405,3,34,0,0,0,1,136,2679,1579,5,"Katie handed the puppy to you",1100,1,Grupo B,Grupo B,Grupo A
