"ID","CueDirection","SentenceDirection","MoveTime","Grupo","SentDur"
417,1,0,177,Grupo A,1460
417,0,0,513,Grupo A,1277
417,0,0,238,Grupo A,1724
417,1,0,183,Grupo A,1523
417,1,1,220,Grupo A,1744
417,1,1,314,Grupo A,1321
417,1,1,228,Grupo A,1439
417,1,1,228,Grupo A,1511
417,1,1,204,Grupo A,1485
417,1,0,206,Grupo A,1579
417,0,1,655,Grupo A,1639
417,0,1,333,Grupo A,1635
417,1,1,274,Grupo A,1293
417,0,1,350,Grupo A,1796
417,0,0,350,Grupo A,2184
417,0,1,367,Grupo A,1647
417,1,1,300,Grupo A,1746
417,1,0,258,Grupo A,1347
417,1,0,228,Grupo A,1684
417,0,0,289,Grupo A,1501
417,0,0,339,Grupo A,2138
417,1,0,275,Grupo A,1693
417,0,1,236,Grupo A,1579
417,0,0,331,Grupo A,1304
417,0,1,275,Grupo A,1837
417,1,1,257,Grupo A,1681
417,0,0,222,Grupo A,1371
418,1,1,305,Grupo B,1620
418,1,0,314,Grupo B,1433
418,0,0,381,Grupo B,1472
418,0,1,284,Grupo B,1856
418,0,1,380,Grupo B,2034
418,0,1,299,Grupo B,1371
418,1,1,232,Grupo B,1634
418,0,0,487,Grupo B,1390
418,0,0,396,Grupo B,1508
418,0,0,290,Grupo B,1696
418,0,1,311,Grupo B,1270
418,0,0,927,Grupo B,1733
418,1,1,337,Grupo B,1427
418,1,0,295,Grupo B,1489
418,0,0,370,Grupo B,1698
418,0,0,392,Grupo B,1022
418,0,1,409,Grupo B,1407
418,1,1,386,Grupo B,1186
418,0,0,734,Grupo B,1746
418,0,1,311,Grupo B,1724
418,1,0,297,Grupo B,1503
418,1,0,391,Grupo B,1559
418,0,1,349,Grupo B,1310
418,0,1,1103,Grupo B,1182
418,0,0,404,Grupo B,1369
418,1,1,282,Grupo B,1567
418,1,0,328,Grupo B,1926
418,1,0,266,Grupo B,1396
418,1,0,302,Grupo B,1322
418,1,0,360,Grupo B,1704
419,0,0,348,Grupo A,1704
419,1,0,342,Grupo A,1696
419,1,1,290,Grupo A,2065
419,0,1,352,Grupo A,1645
419,0,1,334,Grupo A,1634
419,0,0,316,Grupo A,1396
419,1,0,281,Grupo A,1472
419,1,1,262,Grupo A,2034
419,1,0,347,Grupo A,1698
419,1,0,363,Grupo A,1022
419,1,1,169,Grupo A,1371
419,1,1,204,Grupo A,1724
419,1,0,246,Grupo A,1390
419,0,1,307,Grupo A,1637
419,0,0,310,Grupo A,1559
419,0,0,304,Grupo A,1503
419,1,1,311,Grupo A,1407
419,1,0,292,Grupo A,1746
419,1,0,282,Grupo A,1508
419,0,1,259,Grupo A,1186
419,0,0,467,Grupo A,1489
419,1,1,312,Grupo A,1600
419,1,1,328,Grupo A,1856
419,1,0,254,Grupo A,1369
419,1,1,266,Grupo A,1310
419,0,1,394,Grupo A,1567
420,0,0,152,Grupo A,1684
420,1,1,140,Grupo A,1837
420,0,0,142,Grupo A,1347
420,0,0,151,Grupo A,1473
420,0,1,148,Grupo A,1439
420,1,1,223,Grupo A,1507
420,1,0,178,Grupo A,1277
420,1,1,139,Grupo A,1390
420,1,1,131,Grupo A,1579
420,0,1,184,Grupo A,1744
420,1,0,167,Grupo A,2138
420,1,0,125,Grupo A,1304
420,1,1,183,Grupo A,1126
420,1,0,147,Grupo A,1501
420,1,1,151,Grupo A,1647
420,1,0,180,Grupo A,1874
420,1,0,149,Grupo A,2184
420,1,0,149,Grupo A,1647
420,1,0,143,Grupo A,1002
420,1,0,148,Grupo A,1724
420,0,0,116,Grupo A,1523
420,0,1,189,Grupo A,1321
420,0,1,113,Grupo A,1746
420,1,0,155,Grupo A,1371
420,0,1,155,Grupo A,1511
420,1,1,146,Grupo A,1796
420,0,0,108,Grupo A,1579
420,0,0,157,Grupo A,1233
420,0,0,194,Grupo A,1646
420,0,1,97,Grupo A,1681
421,0,0,946,Grupo B,1233
421,1,1,339,Grupo B,1579
