"ptid","CueDirection","SentenceDirection","LiftOffLatency","Grupo","SentDur"
420,0,0,1558,Grupo A,1233
420,0,0,1791,Grupo A,1646
420,0,1,1841,Grupo A,1681
421,0,0,1774,Grupo A,1233
421,1,1,1963,Grupo A,1579
421,1,0,1679,Grupo A,1501
421,0,0,2077,Grupo A,1523
421,0,1,1876,Grupo A,1483
421,1,1,2170,Grupo A,1507
421,0,0,1826,Grupo A,1347
421,0,1,2218,Grupo A,1744
421,1,0,2221,Grupo A,1371
421,0,0,2674,Grupo A,1579
421,0,1,1803,Grupo A,1439
421,0,0,2005,Grupo A,1684
421,1,1,1921,Grupo A,1639
421,0,1,3197,Grupo A,1321
421,1,0,1850,Grupo A,1002
421,1,0,2134,Grupo A,1724
421,1,1,2141,Grupo A,1647
421,0,0,1929,Grupo A,1693
421,0,1,1754,Grupo A,1485
421,1,1,1898,Grupo A,1307
421,1,1,1364,Grupo A,1126
421,1,0,1988,Grupo A,1304
421,1,0,2468,Grupo A,2184
421,1,0,2270,Grupo A,2138
421,1,0,2078,Grupo A,1874
421,1,0,1569,Grupo A,1277
421,0,0,2049,Grupo A,1473
421,0,1,2059,Grupo A,1681
421,1,0,2054,Grupo A,1647
421,0,1,1729,Grupo A,1511
421,0,0,2144,Grupo A,1646
421,1,1,2041,Grupo A,1635
421,0,0,2548,Grupo A,1460
422,0,0,2990,Grupo A,1733
422,0,0,1971,Grupo A,1508
422,0,1,1899,Grupo A,1270
422,0,1,1493,Grupo A,1310
422,0,1,1938,Grupo A,1724
422,1,1,2276,Grupo A,1186
422,1,1,2269,Grupo A,1364
422,1,1,3139,Grupo A,1422
422,0,1,2215,Grupo A,2065
422,0,0,1915,Grupo A,1369
422,1,1,1985,Grupo A,1634
422,1,0,2075,Grupo A,1322
422,0,1,2219,Grupo A,2034
422,1,0,2048,Grupo A,1503
422,0,0,2121,Grupo A,1746
422,1,0,2024,Grupo A,1559
422,1,0,2066,Grupo A,1704
422,1,0,1973,Grupo A,1396
422,0,1,1994,Grupo A,1407
422,0,0,1482,Grupo A,1698
422,1,1,2152,Grupo A,1620
