Frecuencia,Orientacion,Categoria,Tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.09893786740755,97.9923416598985,A,left,0.030494689337037747,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,100.4122870999854,None,left,1,0.6199564000125974,100.51230679999571,None,101.16463639994618,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.14579292409049,99.02193646030359,A,left,0.030728964620452447,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,102.26268129993696,None,right,0,1.249877900001593,102.36262559995521,None,103.63546029990539,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.71507088357542,96.5825537994241,B,right,0.028575354417877098,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,104.73008259991184,None,left,0,0.6065649999072775,104.83010869997088,None,105.46369659993798,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.43368217113167,87.339652703925,B,right,0.02716841085565835,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,106.54794369998854,None,right,1,0.8290499999420717,106.64807280001696,None,107.49833819991909,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.532385163073,89.7996696688354,B,right,0.027661925815365,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,108.5830161999911,None,right,1,1.0990193999605253,108.68187259999104,None,109.7989610999357,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.1542448269885,100.947346885409,A,left,0.0307712241349425,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,110.88269959995523,None,left,1,0.9501883999910206,110.98269169998821,None,111.9496574999066,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.51850649392063,89.4192088712542,B,right,0.02759253246960315,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,113.03331069997512,None,left,0,1.8393551000626758,113.1335086999461,None,115.0016009999672,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.66867884870079,95.36907727440361,B,right,0.02834339424350395,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,116.0843928999966,None,left,0,1.42768090008758,116.18454239994753,None,117.6346492000157,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.40912955191173,87.7537043841112,B,right,0.027045647759558648,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,118.71931109996513,None,right,1,0.6659679000731558,118.81888209993485,None,119.5028663999401,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.53015020439733,90.54179298106139,B,right,0.02765075102198665,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,120.58616419997998,None,right,1,1.486700200010091,120.68593939999118,None,122.20300059998408,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
