"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
120,0,"Grupo A",402,2,40,1,0,0,1,411,1660,1503,1,"Andy delivered the pizza to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",157,NA,"","",0,NA,NA,NA
121,0,"Grupo A",402,2,41,1,1,0,1,615,2603,1645,27,"You kicked Joe the soccer ball","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",958,NA,"","",1,NA,NA,NA
122,0,"Grupo A",402,2,42,0,0,0,1,430,1975,1746,12,"Tiana devoted her time to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",229,NA,"","",1,NA,NA,NA
123,0,"Grupo A",402,2,43,0,1,0,1,370,2352,1724,37,"Ian received the complaint from you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",628,NA,"","",0,NA,NA,NA
132,0,"Grupo A",402,2,52,0,0,0,1,202,2625,1698,15,"Jesse gave you another chance","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",927,NA,"","",1,NA,NA,NA
133,0,"Grupo A",402,2,53,1,0,0,1,439,2841,1704,10,"Adam conveyed the message to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",1137,NA,"","",0,NA,NA,NA
135,0,"Grupo A",402,2,55,0,0,0,1,452,2450,1805,11,"Art bestowed the honor upon you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",645,NA,"","",1,NA,NA,NA
138,0,"Grupo A",402,2,58,0,0,0,1,620,1528,1369,14,"Jenni sang you a song","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",159,NA,"","",1,NA,NA,NA
139,0,"Grupo A",402,2,59,0,1,0,1,621,1631,1371,32,"You sold the land to Mike","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",260,NA,"","",0,NA,NA,NA
141,0,"Grupo A",402,2,61,1,1,0,1,554,2765,1620,28,"You shot Shawn the rubber band","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",1145,NA,"","",1,NA,NA,NA
142,0,"Grupo A",402,2,62,1,1,0,1,395,1746,1637,22,"You donated money to Vincent","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",109,NA,"","",1,NA,NA,NA
143,0,"Grupo A",402,2,63,1,0,0,1,425,1709,1433,4,"Amber drove the car to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",276,NA,"","",0,NA,NA,NA
145,0,"Grupo A",402,2,65,0,0,0,1,399,1456,1022,19,"He taught you a lesson","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",434,NA,"","",1,NA,NA,NA
147,0,"Grupo A",402,2,67,1,0,0,1,369,1748,1559,8,"Courtney handed you the notebook","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",189,NA,"","",0,NA,NA,NA
149,0,"Grupo A",402,2,69,1,0,0,1,299,1743,1534,2,"Helen awarded a medal to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",209,NA,"","",0,NA,NA,NA
152,0,"Grupo A",402,2,72,0,1,0,1,365,2175,2065,34,"You radioed the message to the policeman","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",110,NA,"","",0,NA,NA,NA
153,0,"Grupo A",402,2,73,0,0,0,1,349,1997,1472,20,"Andy pitched you the idea","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",525,NA,"","",1,NA,NA,NA
158,0,"Grupo A",402,2,78,1,1,0,1,469,2112,1186,26,"You threw Diane the pen","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",926,NA,"","",1,NA,NA,NA
159,0,"Grupo A",402,2,79,0,0,0,1,446,1858,1696,13,"John dedicated the song to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",162,NA,"","",1,NA,NA,NA
161,1,"Grupo A",403,4,1,0,1,0,1,269,1824,1635,35,"You gave Jesse another chance","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","189",NA,NA,"","",0,NA,NA,NA
162,0,"Grupo A",403,4,2,1,0,0,1,245,1676,1460,3,"Mark dealt the cards to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","216",NA,NA,"","",0,NA,NA,NA
165,0,"Grupo A",403,4,5,0,1,0,1,293,2020,1579,37,"You offered Chris some writing tips","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","441",NA,NA,"","",0,NA,NA,NA
166,0,"Grupo A",403,4,6,0,1,0,1,285,2228,1647,32,"You devoted your time to Tiana","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","581",NA,NA,"","",0,NA,NA,NA
170,0,"Grupo A",403,4,10,0,1,0,1,247,2588,1837,31,"You bestowed the honor upon Art","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","751",NA,NA,"","",0,NA,NA,NA
172,0,"Grupo A",403,4,12,0,0,0,1,278,3209,1724,17,"You received the complaint from Ian","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","1485",NA,NA,"","",1,NA,NA,NA
173,0,"Grupo A",403,4,13,1,0,0,1,448,1987,1523,7,"Joe kicked you the soccer ball","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","464",NA,NA,"","",0,NA,NA,NA
175,0,"Grupo A",403,4,15,1,1,0,1,410,2197,1293,29,"You hit Paul the baseball","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","904",NA,NA,"","",1,NA,NA,NA
178,0,"Grupo A",403,4,18,1,0,0,1,416,3980,1579,5,"Katie handed the puppy to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","2401",NA,NA,"","",0,NA,NA,NA
181,0,"Grupo A",403,4,21,1,1,0,1,451,2049,1439,26,"You bought Christine ice cream","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","610",NA,NA,"","",1,NA,NA,NA
