Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67989626505887,147.527984556444,A,left,0.02839948132529435,16,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,109.82907900004648,None,left,1,0.7376310001127422,109.92913990002126,None,110.69694550009444,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.79902990211732,99.9581183266476,B,right,0.0339951495105866,17,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,111.78133970010094,None,right,1,0.9049089001491666,111.88147559994832,None,112.81595119996928,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.79254397490312,98.9920272096112,B,right,0.0339627198745156,18,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,113.90106500010006,None,left,0,0.7143274999689311,114.00105360010639,None,114.73642239999026,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.66545667157263,154.781330733928,A,left,0.02832728335786315,19,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,115.81941820005886,None,right,0,0.6513561999890953,115.91956049995497,None,116.60333639988676,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.7645190524607,95.2336177372607,B,right,0.033822595262303495,20,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,117.68767450004816,None,right,1,1.0312534999102354,117.7880496000871,None,118.83928150008433,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.7247355425039,154.03874278342,A,left,0.028623677712519502,21,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,119.9241857000161,None,left,1,0.9468376999720931,120.02417859993875,None,120.99188149999827,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.7239809272339,96.2937755215141,B,right,0.033619904636169505,22,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,122.07774779992178,None,right,1,0.9465242000296712,122.17683080001734,None,123.14448640006594,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.78113131452795,95.7414846680536,B,right,0.03390565657263975,23,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,124.22908319998533,None,right,1,1.2724270999897271,124.3304775999859,None,125.63061959994957,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.82931684277607,95.7864083159805,B,right,0.03414658421388035,24,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,126.71506599988788,None,right,1,0.7874513000715524,126.81536690006033,None,127.63228309992701,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.67644153938923,152.764775108236,A,left,0.02838220769694615,25,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,128.7173969000578,None,left,1,0.6407588999718428,128.81804600008763,None,129.48486749990843,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.64012026066103,153.685931681149,A,left,0.02820060130330515,26,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,130.5704308000859,None,left,1,0.8529095000121742,130.66977660008706,None,131.55401899991557,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.842829005153,98.3621884122161,B,right,0.034214145025765,27,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,132.63874779990874,None,right,1,0.9843011000193655,132.73885349999182,None,133.74021549988538,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.69641722135894,153.936240843423,A,left,0.028482086106794702,28,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,134.82454550010152,None,left,1,0.8533228000160307,134.9252434000373,None,135.8090923000127,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.76713501764912,153.04471175017,A,left,0.0288356750882456,29,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,136.89473049994558,None,left,1,0.8173813000321388,136.99368380010128,None,137.8280982999131,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.70726741374849,155.538611445948,A,left,0.028536337068742448,30,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,138.9128642999567,None,left,1,0.43851689994335175,139.0126889999956,None,139.47990070004016,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.76959713053393,97.0148467305192,B,right,0.03384798565266965,31,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,140.5644529000856,None,right,1,0.7144816999789327,140.66478340001777,None,141.39866789989173,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.85830996609588,95.3472615246689,B,right,0.0342915498304794,32,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,142.4837877000682,None,left,0,0.5787712999153882,142.58458729996346,None,143.18485069996677,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.72484645929753,152.735933795035,A,left,0.02862423229648765,33,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,144.25260860007256,None,left,1,1.1380998000968248,144.36901029990986,None,145.53706349991262,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.78838212954652,153.934316214777,A,left,0.028941910647732598,34,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,146.62193370005116,None,left,1,0.8652278000954539,146.72155779995956,None,147.60611420008354,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.83470621915365,101.862614671881,B,right,0.03417353109576825,35,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,148.6908968000207,None,right,1,1.0595239999238402,148.79175819992088,None,149.8752510000486,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.78769126308866,96.7068652696438,B,right,0.0339384563154433,36,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,150.9599071999546,None,right,1,0.6389884001109749,151.05998039990664,None,151.72793289995752,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.67208092365389,153.407154846201,A,left,0.02836040461826945,37,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,152.81199069996364,None,right,0,0.43437110004015267,152.91217130003497,None,153.37965880008414,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.72228149508886,98.0441542037919,B,right,0.033611407475444305,38,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,154.46398720005527,None,left,0,1.2705856000538915,154.56423670006916,None,155.86549909994937,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.71535275757566,155.346928198045,A,left,0.028576763787878302,39,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,156.950061700074,None,right,0,1.9129526000469923,157.05010530003347,None,158.98590389988385,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.62944414746382,152.806753100168,A,left,0.028147220737319102,40,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,160.07049919990823,None,left,1,0.7364207000937313,160.17062760004774,None,160.9380141000729,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.80505908760311,100.815908704948,B,right,0.03402529543801555,41,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,162.0223866000306,None,right,1,1.2242836998775601,162.1226560000796,None,163.37433080002666,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.80159567832488,95.9672025517672,B,right,0.0340079783916244,42,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,164.45907020010054,None,right,1,0.5007873000577092,164.55896080005914,None,165.07634499995038,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.77311152371576,97.129250407273,B,right,0.0338655576185788,43,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,166.1608835000079,None,right,1,0.5029380000196397,166.26052960008383,None,166.79494110005908,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.62977401581616,149.875952964348,A,left,0.0281488700790808,44,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,167.87946130009368,None,left,1,0.7275124001316726,167.97972239996307,None,168.73065769998357,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.79752942032318,97.1296441773155,B,right,0.0339876471016159,45,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,169.81498340005055,None,right,1,0.7435271001886576,169.91498699993826,None,170.68263070005924,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.69972834528702,153.930024675352,A,left,0.028498641726435098,46,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,171.76720819994807,None,left,1,1.4155862000770867,171.86730919987895,None,173.3019608000759,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
