"","count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad","Grupo.Lift.Off","Grupo.Lift.Off.Diff","Grupo.MoveTime"
"107",264,0,404,1,24,0,0,0,1,146,1745,1396,6,"Christine bought you ice cream",349,1,"Grupo A","Grupo A","Grupo A"
"108",265,0,404,1,25,0,1,0,1,57,2007,1364,29,"You rolled Mike the marble",643,0,"Grupo A","Grupo A","Grupo A"
"109",266,0,404,1,26,0,1,0,1,105,2055,1634,24,"You entrusted the key to Jeff",421,0,"Grupo A","Grupo A","Grupo A"
"110",267,0,404,1,27,0,1,0,1,124,2075,1645,27,"You kicked Joe the soccer ball",430,0,"Grupo A","Grupo A","Grupo A"
"111",271,0,404,1,31,0,1,0,1,38,2206,1637,22,"You donated money to Vincent",569,0,"Grupo A","Grupo A","Grupo A"
"112",273,0,404,1,33,1,1,0,1,146,1677,1270,38,"You paid Amanda tribute",407,1,"Grupo A","Grupo A","Grupo A"
"113",275,0,404,1,35,1,0,0,1,282,2284,1746,12,"Tiana devoted her time to you",538,0,"Grupo A","Grupo A","Grupo A"
"114",276,0,404,1,36,1,1,0,1,175,2047,1724,37,"Ian received the complaint from you",323,1,"Grupo A","Grupo A","Grupo A"
"115",279,0,404,1,39,0,0,0,1,164,2595,1489,3,"Jack kicked the football to you",1106,1,"Grupo A","Grupo A","Grupo A"
"116",282,0,404,1,42,0,1,0,1,82,1855,1427,30,"You poured your dad some water",428,0,"Grupo A","Grupo A","Grupo A"
"117",284,0,404,1,44,1,0,0,1,167,2824,1472,20,"Andy pitched you the idea",1352,0,"Grupo A","Grupo A","Grupo A"
"118",285,0,404,1,45,0,1,0,1,62,2554,1620,28,"You shot Shawn the rubber band",934,0,"Grupo A","Grupo A","Grupo A"
"119",286,0,404,1,46,1,1,0,1,113,2375,2065,34,"You radioed the message to the policeman",310,1,"Grupo A","Grupo A","Grupo A"
"120",287,0,404,1,47,1,0,0,1,150,1872,1369,14,"Jenni sang you a song",503,0,"Grupo A","Grupo A","Grupo A"
