"ID","CueDirection","SentenceDirection","liftOffDiff","Grupo","SentDur"
416,0,1,437,Grupo A,2065
416,1,0,518,Grupo A,1433
416,1,1,267,Grupo A,1634
416,0,0,-106,Grupo A,1696
416,0,0,446,Grupo A,1472
416,1,0,321,Grupo A,1322
416,0,1,173,Grupo A,1724
416,1,1,567,Grupo A,1645
416,1,0,249,Grupo A,1559
416,0,0,-28,Grupo A,1698
416,1,0,635,Grupo A,1926
416,1,1,457,Grupo A,1186
416,0,1,138,Grupo A,1856
416,1,0,160,Grupo A,1396
416,0,1,256,Grupo A,1407
417,0,1,433,Grupo B,1390
417,0,1,397,Grupo B,1126
417,0,0,351,Grupo B,1647
417,1,0,353,Grupo B,1460
417,0,0,276,Grupo B,1277
417,0,0,252,Grupo B,1724
417,1,0,344,Grupo B,1523
417,1,1,251,Grupo B,1744
417,1,1,469,Grupo B,1321
417,1,1,438,Grupo B,1439
417,1,1,637,Grupo B,1511
417,1,1,1011,Grupo B,1485
417,1,0,565,Grupo B,1579
417,0,1,926,Grupo B,1639
417,0,1,499,Grupo B,1635
417,1,1,1598,Grupo B,1293
417,0,1,1016,Grupo B,1796
417,0,0,491,Grupo B,2184
417,0,1,787,Grupo B,1647
417,1,1,525,Grupo B,1746
417,1,0,1090,Grupo B,1347
417,1,0,773,Grupo B,1684
417,0,0,710,Grupo B,1501
417,0,0,598,Grupo B,2138
417,1,0,447,Grupo B,1693
417,0,1,1567,Grupo B,1579
417,0,0,700,Grupo B,1304
417,0,1,865,Grupo B,1837
417,1,1,485,Grupo B,1681
417,0,0,1280,Grupo B,1371
418,1,1,551,Grupo A,1620
418,1,0,465,Grupo A,1433
418,0,0,547,Grupo A,1472
418,0,1,352,Grupo A,1856
418,0,1,404,Grupo A,2034
418,0,1,607,Grupo A,1371
418,1,1,285,Grupo A,1634
418,0,0,335,Grupo A,1390
418,0,0,483,Grupo A,1508
418,0,0,210,Grupo A,1696
418,0,1,329,Grupo A,1270
418,0,0,432,Grupo A,1733
418,1,1,362,Grupo A,1427
418,1,0,721,Grupo A,1489
418,0,0,-100,Grupo A,1698
418,0,0,420,Grupo A,1022
418,0,1,264,Grupo A,1407
418,1,1,496,Grupo A,1186
418,0,0,269,Grupo A,1746
418,0,1,870,Grupo A,1724
418,1,0,308,Grupo A,1503
418,1,0,416,Grupo A,1559
418,0,1,817,Grupo A,1310
418,0,1,480,Grupo A,1182
418,0,0,438,Grupo A,1369
418,1,1,642,Grupo A,1567
418,1,0,851,Grupo A,1926
418,1,0,379,Grupo A,1396
418,1,0,349,Grupo A,1322
418,1,0,619,Grupo A,1704
419,0,0,253,Grupo A,1704
419,1,0,266,Grupo A,1696
419,1,1,304,Grupo A,2065
419,0,1,255,Grupo A,1645
419,0,1,296,Grupo A,1634
419,0,0,404,Grupo A,1396
419,1,0,309,Grupo A,1472
419,1,1,428,Grupo A,2034
419,1,0,-82,Grupo A,1698
419,1,0,453,Grupo A,1022
419,1,1,613,Grupo A,1371
419,1,1,1007,Grupo A,1724
419,1,0,505,Grupo A,1390
419,0,1,790,Grupo A,1637
419,0,0,211,Grupo A,1559
419,0,0,193,Grupo A,1503
419,1,1,335,Grupo A,1407
419,1,0,194,Grupo A,1746
419,1,0,313,Grupo A,1508
419,0,1,763,Grupo A,1186
419,0,0,306,Grupo A,1489
419,1,1,392,Grupo A,1600
419,1,1,202,Grupo A,1856
419,1,0,408,Grupo A,1369
